entry_time,exit_time,p0,avg_entry,exit_price,qty,cost_quote,proceeds,pnl,pnl_pct,fills,max_dd_from_p0,reason
2021-01-01 00:00:00+00:00,2021-01-01 01:36:00+00:00,736.42,736.42,743.7841999999999,0.6782814154965919,500.00000000000017,503.99050500000016,3.9905049999999846,0.007981009999999967,1,0.00962765812987143,take_profit
2021-01-01 01:37:00+00:00,2021-01-02 12:27:00+00:00,745.69,733.3916342831351,740.7255506259664,1.790987664810742,1314.810180657143,1325.3036938570694,10.493513199926383,0.007981009999999938,5,0.042108651048022756,take_profit
2021-01-02 12:28:00+00:00,2021-01-02 12:44:00+00:00,742.29,742.29,749.7129,0.6738922479207405,500.72420090999645,504.7204857647012,3.9962848547047543,0.007981010000000127,1,0.007705883145401277,take_profit
2021-01-02 12:45:00+00:00,2021-01-02 13:13:00+00:00,749.99,749.9900000000001,757.4899000000001,0.667239684712568,500.92401515273167,504.9218947269058,3.997879574174135,0.007981010000000064,1,0.001173348977986367,take_profit
2021-01-02 13:14:00+00:00,2021-01-02 13:18:00+00:00,759.41,759.4099999999999,767.0040999999999,0.6592259586024796,501.12390913144037,505.12338406145744,3.9994749300170724,0.007981009999999912,1,0.0013299798527804361,take_profit
2021-01-02 13:19:00+00:00,2021-01-02 16:02:00+00:00,766.2,765.0159577063847,772.6661172834486,0.7731179820785953,592.0396331129972,596.7647073452683,4.72507423227114,0.007981009999999964,2,0.017227877838684475,take_profit
2021-01-02 16:03:00+00:00,2021-01-02 16:40:00+00:00,771.38,771.38,779.0938,0.649561275185985,501.5601365895547,505.5630930552773,4.002956465722605,0.007981010000000005,1,0.008919080090227897,take_profit
2021-01-02 16:41:00+00:00,2021-01-02 17:00:00+00:00,776.89,775.6894379829199,783.4463323627491,0.7631436223773593,592.5550025446883,597.2841899455474,4.729187400859132,0.007981009999999915,2,0.010220237099203158,take_profit
2021-01-02 17:01:00+00:00,2021-01-03 00:04:00+00:00,783.36,770.4403581006003,778.1447616816063,1.7109887219505062,1319.5342979435802,1330.0655143708107,10.531216427230447,0.007981009999999813,5,0.042432598039215695,take_profit
2021-01-03 00:05:00+00:00,2021-01-03 05:06:00+00:00,775.68,775.68,783.4368,0.6472008834824169,502.52330460424537,506.5339481235249,4.01064351927954,0.007981010000000024,1,0.00898566419141903,take_profit
2021-01-03 05:07:00+00:00,2021-01-03 06:08:00+00:00,783.67,783.67,791.5066999999999,0.6408579031268635,502.7238367802093,506.73608074879047,4.012243968581174,0.007981009999999912,1,0.0010591192721425182,take_profit
2021-01-03 06:09:00+00:00,2021-01-03 06:18:00+00:00,792.52,792.5199999999999,800.4451999999999,0.6339543791067226,502.9244489786384,506.9382940351814,4.013845056543005,0.007981010000000004,1,1.2617978095178551e-05,take_profit
2021-01-03 06:19:00+00:00,2021-01-03 08:35:00+00:00,800.71,799.4726278975193,807.4673541764945,0.7424552710226562,594.1668334543022,598.9088848937694,4.742051439467218,0.007981010000000165,2,0.011502291716102004,take_profit
2021-01-03 08:36:00+00:00,2021-01-03 08:56:00+00:00,807.81,807.81,815.8881,0.6224964800629301,503.362243803439,507.3795829048567,4.01733910141769,0.00798101000000001,1,0.0031690620319133776,take_profit
2021-01-03 08:57:00+00:00,2021-01-03 09:07:00+00:00,817.3,817.3,825.473,0.6155139454885004,503.5631107585098,507.5820529811046,4.018942222594774,0.007981009999999998,1,0.0036583873730576403,take_profit
2021-01-03 09:08:00+00:00,2021-01-03 11:07:00+00:00,824.59,823.3157250915007,831.5488823424157,0.7218694166806456,594.9213635793838,599.6694369313245,4.748073351940775,0.00798101000000013,2,0.014055469991147153,take_profit
2021-01-03 11:08:00+00:00,2021-01-03 13:20:00+00:00,831.02,831.02,839.3302,0.6058788718390644,504.00146153723654,508.02390224177987,4.022440704543328,0.007981010000000056,1,0.008435416716805842,take_profit
2021-01-03 13:21:00+00:00,2021-01-03 13:27:00+00:00,840.25,840.25,848.6525,0.5994625182849047,504.20258357246365,508.2266294339813,4.0240458615176635,0.007981009999999992,1,1.1901219875026367e-05,take_profit
2021-01-03 13:28:00+00:00,2021-01-03 13:35:00+00:00,850.0,850.0,858.5,0.5928228024466753,504.40378586553953,508.4294375245703,4.025651659030757,0.007981010000000054,1,0.004576470588235278,take_profit
2021-01-03 13:36:00+00:00,2021-01-03 13:38:00+00:00,860.49,860.49,869.0949,0.5858295429116464,504.60506844849107,508.6323265458292,4.02725809733812,0.007981010000000056,1,0.004055828655765911,take_profit
2021-01-03 13:39:00+00:00,2021-01-03 13:47:00+00:00,878.98,877.621673851159,886.3978905896706,0.6786024347557302,596.1523570268226,600.9102549497774,4.757897922954726,0.00798101000000014,2,0.016428132608250535,take_profit
2021-01-03 13:48:00+00:00,2021-01-03 14:23:00+00:00,884.58,879.3288360202642,888.1221243804669,0.8852570313631456,779.2112462135229,785.4301389616654,6.21889274814248,0.00798100999999986,3,0.025187094440299446,take_profit
2021-01-03 14:24:00+00:00,2021-01-03 14:28:00+00:00,890.94,890.9400000000002,899.8494000000002,0.5666486133926255,505.35527088691276,509.38851635741395,4.0332454705011855,0.00798101000000005,1,0.002323388780389308,take_profit
2021-01-03 14:29:00+00:00,2021-01-03 14:32:00+00:00,902.88,902.88,911.9088,0.5593781856141209,505.5569331604379,509.59178809956074,4.034854939122852,0.007981010000000129,1,0.006368509657983342,take_profit
2021-01-03 14:33:00+00:00,2021-01-03 15:00:00+00:00,913.06,907.6397691748202,916.7161668665684,0.85885733390541,780.3133856856934,786.5410746199849,6.22768893429145,0.007981010000000094,3,0.02525573346768005,take_profit
2021-01-03 15:01:00+00:00,2021-01-03 15:57:00+00:00,918.07,902.9286401672514,911.9579265689239,1.4717786113801512,1330.2413015022278,1340.85797063193,10.616669129702132,0.007981009999999877,5,0.04199026218044383,take_profit
2021-01-03 15:58:00+00:00,2021-01-03 16:00:00+00:00,914.03,914.03,923.1703,0.5536954945863737,506.6008938105937,510.64408061010505,4.043186799511375,0.007981010000000175,1,0.00036103847794922186,take_profit
2021-01-03 16:01:00+00:00,2021-01-03 16:02:00+00:00,929.98,929.98,939.2798,0.5444162778741679,506.80305315056927,510.84785338579445,4.044800235225182,0.007981009999999915,1,0.0066453042000903925,take_profit
2021-01-03 16:03:00+00:00,2021-01-03 16:06:00+00:00,944.11,942.6510256201709,952.0775358763726,0.6345406123266826,598.7491081155141,603.5277307348751,4.778622619361045,0.007981010000000077,2,0.013345902490175957,take_profit
2021-01-03 16:07:00+00:00,2021-01-03 16:09:00+00:00,951.59,951.59,961.1059,0.5325160836799516,507.2442242932985,511.2925455198255,4.048321226527037,0.007981009999999959,1,0.0016708876722118053,take_profit
2021-01-03 16:10:00+00:00,2021-01-03 16:24:00+00:00,964.96,959.2316733434106,968.8239900768448,0.8153762826556433,782.9176736899925,789.1661474728891,6.2484737828965535,0.007981009999999983,3,0.024063173603050932,take_profit
2021-01-03 16:25:00+00:00,2021-01-03 20:04:00+00:00,970.01,933.0248260804428,942.3550743412472,2.2160749431283424,2069.7226610546036,2086.241138309707,16.518477255103335,0.007981009999999967,7,0.0835867671467305,take_profit
2021-01-03 20:05:00+00:00,2021-01-03 20:16:00+00:00,938.0,937.9999999999999,947.3799999999999,0.5416592781648383,508.5849879065248,512.6440097808565,4.059021874331734,0.007981009999999764,1,0.004019189765458403,take_profit
2021-01-03 20:17:00+00:00,2021-01-03 20:24:00+00:00,947.28,947.2800000000001,956.7528000000001,0.5365669612588054,508.78793900024147,512.8485806292819,4.06064162904039,0.007981010000000142,1,0.0020374123807110358,take_profit
2021-01-03 20:25:00+00:00,2021-01-03 22:16:00+00:00,958.42,952.7304969799699,962.2578019497696,0.8234385878426379,785.3003553831841,791.5678453725009,6.2674899893168,0.00798101000000007,3,0.022923144341729006,take_profit
2021-01-03 22:17:00+00:00,2021-01-03 22:20:00+00:00,961.75,961.75,971.3675000000001,0.5290304561846406,509.3043455811593,513.369108656286,4.064763075126734,0.00798101000000009,1,0.00013517026254223597,take_profit
2021-01-03 22:21:00+00:00,2021-01-03 22:27:00+00:00,968.0,968.0,977.6800000000001,0.5258244588338644,509.5075837349157,513.57396885578,4.066385120864254,0.007981010000000106,1,0.0014979338842975676,take_profit
2021-01-03 22:28:00+00:00,2021-01-03 22:31:00+00:00,978.54,978.54,988.3254,0.5203682957139902,509.7109029909589,513.7789108048388,4.068007813879888,0.007981010000000028,1,0.0011650009197375544,take_profit
2021-01-03 22:32:00+00:00,2021-01-03 22:34:00+00:00,985.3,985.3,995.1529999999999,0.5170043530683764,509.9143033816529,513.9839345360849,4.069631154431988,0.007981009999999965,1,0.0,take_profit
2021-01-03 22:35:00+00:00,2021-01-03 23:38:00+00:00,994.11,988.2086291529369,998.0907154444662,0.7956334382527477,787.0388681921778,793.3202332696083,6.281365077430451,0.007981009999999997,3,0.024896641216766754,take_profit
