month,start_eq,end_eq,pnl,pct_vs_capital,pct_vs_start_eq
2021-01,9999.851150158876,13107.467999612829,3107.6168494539525,31.076168494539523,31.076631069699268
2021-02,13107.467999612829,12668.29966034502,-439.16833926780964,-4.391683392678097,-3.3505200186701334
2021-03,12668.29966034502,14938.780812480025,2270.4811521350057,22.704811521350056,17.92254061720837
2021-04,14938.780812480025,16726.03504726682,1787.2542347867966,17.872542347867963,11.963856068453094
2021-05,16726.03504726682,17207.06934761777,481.0343003509479,4.810343003509479,2.875961332088406
2021-06,17207.06934761777,18402.778386939488,1195.7090393217186,11.957090393217186,6.948940665990033
2021-07,18402.778386939488,19354.088847765146,951.3104608256581,9.513104608256581,5.169384974503677
2021-08,19354.088847765146,20970.35903398529,1616.270186220143,16.162701862201427,8.3510528391874
2021-09,20970.35903398529,21279.921967769245,309.5629337839564,3.095629337839564,1.4761928171199479
2021-10,21279.921967769245,23726.02637275283,2446.1044049835837,24.461044049835838,11.49489367812755
2021-11,23726.02637275283,24820.610559658628,1094.5841869057986,10.945841869057986,4.6134323957543355
2021-12,24820.610559658628,25519.32477342851,698.7142137698829,6.987142137698829,2.815056511565084
2022-01,25519.32477342851,26674.17743045312,1154.8526570246104,11.548526570246104,4.525404442624903
2022-02,26674.17743045312,28149.811334107937,1475.633903654816,14.75633903654816,5.532069011320773
2022-03,28149.811334107937,29125.092415292926,975.2810811849886,9.752810811849885,3.464609654428763
2022-04,29125.092415292926,27009.583612711045,-2115.5088025818804,-21.155088025818806,-7.263526489176309
2022-05,27009.583612711045,22161.000193547257,-4848.583419163788,-48.48583419163788,-17.951344562312997
2022-06,22161.000193547257,17359.667903159185,-4801.332290388073,-48.01332290388073,-21.665684077680314
2022-07,17359.667903159185,19954.197058409565,2594.5291552503804,25.945291552503804,14.94573035454334
2022-08,19954.197058409565,19080.900870647984,-873.2961877615817,-8.732961877615816,-4.376503776149376
2022-09,19080.900870647984,18594.808399080175,-486.0924715678084,-4.860924715678084,-2.5475341801893703
2022-10,18594.808399080175,20783.978343661278,2189.1699445811028,21.891699445811028,11.773016949663194
2022-11,20783.978343661278,20438.642557398434,-345.3357862628436,-3.453357862628436,-1.6615480470232757
2022-12,20438.642557398434,20611.749802861385,173.10724546295023,1.7310724546295022,0.8469605795825563
2023-01,20611.749802861385,21872.43192912845,1260.6821262670637,12.606821262670637,6.116327523498533
2023-02,21872.43192912845,21998.44791331786,126.01598418941285,1.2601598418941284,0.5761407080736802
2023-03,21998.44791331786,23159.11644849489,1160.6685351770284,11.606685351770283,5.276138297349431
2023-04,23159.11644849489,22964.070628597136,-195.04581989775397,-1.9504581989775398,-0.8421988823776094
2023-05,22964.070628597136,23643.918411250732,679.8477826535964,6.798477826535963,2.960484635537486
2023-06,23643.918411250732,23870.604989543393,226.68657829266158,2.2668657829266157,0.9587521592224535
2023-07,23870.604989543393,23760.078054036047,-110.52693550734693,-1.1052693550734694,-0.46302527965154106
2023-08,23760.078054036047,22829.158949295237,-930.9191047408094,-9.309191047408094,-3.9179968290662948
2023-09,22829.158949295237,23017.950629568753,188.79168027351625,1.8879168027351627,0.8269760646585134
2023-10,23017.950629568753,24213.003755201862,1195.0531256331087,11.950531256331088,5.1918311272157736
2023-11,24213.003755201862,24817.104707317176,604.1009521153137,6.041009521153137,2.4949442796230015
2023-12,24817.104707317176,25361.09667994771,543.9919726305343,5.439919726305343,2.1920041803673573
2024-01,25361.09667994771,25560.563704420736,199.46702447302596,1.9946702447302593,0.7865078824873528
2024-02,25560.563704420736,27604.63448938016,2044.0707849594255,20.440707849594254,7.996970679507753
2024-03,27604.63448938016,29318.221418244542,1713.5869288643808,17.135869288643807,6.207605934878857
2024-04,29318.221418244542,29028.100474949606,-290.1209432949363,-2.9012094329493627,-0.9895584699909366
2024-05,29028.100474949606,30272.77693555327,1244.6764606036631,12.44676460603663,4.28783296267623
2024-06,30272.77693555327,30556.886886337696,284.1099507844265,2.8410995078442647,0.938499799305692
2024-07,30556.886886337696,30967.41597393155,410.52908759385537,4.105290875938554,1.3434912041953018
2024-08,30967.41597393155,31062.909734673107,95.49376074155589,0.954937607415559,0.3083685148994819
2024-09,31062.909734673107,32103.335775041043,1040.4260403679364,10.404260403679363,3.349415908731146
2024-10,32103.335775041043,32469.686958613165,366.35118357212195,3.66351183572122,1.1411623581401908
2024-11,32469.686958613165,34959.31431196396,2489.627353350792,24.89627353350792,7.667543442978508
2024-12,34959.31431196396,35755.84440387922,796.5300919152651,7.965300919152652,2.2784488414369974
2025-01,35755.84440387922,37054.23283286861,1298.3884289893904,12.983884289893904,3.631262107317279
2025-02,37054.23283286861,37281.849249807885,227.6164169392723,2.276164169392723,0.6142791242391255
2025-03,37281.849249807885,34974.40009414304,-2307.4491556648427,-23.07449155664843,-6.189202526419024
2025-04,34974.40009414304,30377.145149212054,-4597.254944930988,-45.97254944930988,-13.144628449826834
2025-05,30377.145149212054,32111.308416766988,1734.1632675549336,17.341632675549334,5.708776315340858
2025-06,32111.308416766988,32965.629552565864,854.3211357988766,8.543211357988767,2.6604993004669675
2025-07,32965.629552565864,34678.63192299061,1713.0023704247433,17.13002370424743,5.196328399229411
2025-08,34678.63192299061,35388.268121647445,709.6361986568372,7.096361986568373,2.0463212050368496
2025-09,35388.268121647445,35586.34314879978,198.07502715233568,1.9807502715233567,0.5597194710728726
2025-10,35586.34314879978,38565.31701684625,2978.9738680464725,29.789738680464723,8.371115446142552
2025-11,38565.31701684625,34622.71760624147,-3942.59941060478,-39.4259941060478,-10.223173865996117
2025-12,34622.71760624147,38083.69653575201,3460.9789295105365,34.609789295105365,9.996265945590089
2026-01,38083.69653575201,34838.198812416114,-3245.497723335895,-32.45497723335895,-8.522013403528472
2026-02,34838.198812416114,29272.726947728446,-5565.471864687668,-55.654718646876674,-15.975199793349159
2026-03,29272.726947728446,30057.731323263462,785.0043755350162,7.850043755350161,2.681691995886748
2026-04,30057.731323263462,31067.34193891991,1009.6106156564492,10.096106156564492,3.358904918000416
2026-05,31067.34193891991,30087.969133595398,-979.372805324514,-9.79372805324514,-3.1524190490773707
2026-06,30087.969133595398,25777.66941388703,-4310.299719708368,-43.102997197083674,-14.325658540029561
2026-07,25777.66941388703,31607.838466237008,5830.169052349978,58.301690523499786,22.617130194125036
