mode,entry_time,exit_time,p0,avg_entry,exit_price,budget,spent,pnl,pnl_pct,fills,hold_bars,reason
normal,2021-01-01 00:00:00+00:00,2021-01-01 01:36:00+00:00,736.42,736.42,743.7841999999999,10000.0,2500.0,19.952524999999696,0.007981009999999879,1,97,take_profit
normal,2021-01-01 01:37:00+00:00,2021-01-01 18:41:00+00:00,745.69,734.3343147208122,723.3193,10019.952525,5009.9762625,-85.01436234800713,-0.016969015000000136,2,1025,stop_loss
recovery,2021-01-01 18:42:00+00:00,2021-01-01 20:57:00+00:00,723.43,723.43,730.6642999999999,9934.938162651993,4967.469081325997,39.64542041275399,0.00798101000000008,1,136,take_profit
normal,2021-01-01 20:58:00+00:00,2021-01-02 06:46:00+00:00,730.16,730.16,737.4616,9974.583583064748,2493.645895766187,19.901812830568815,0.007981009999999967,1,589,take_profit
normal,2021-01-02 06:47:00+00:00,2021-01-02 12:38:00+00:00,737.94,737.94,745.3194000000001,9994.485395895317,2498.6213489738293,19.94152197237372,0.00798101000000004,1,352,take_profit
normal,2021-01-02 12:39:00+00:00,2021-01-02 12:45:00+00:00,746.56,746.56,754.0255999999999,10014.426917867691,2503.606729466923,19.981310343942823,0.007981010000000007,1,7,take_profit
normal,2021-01-02 12:46:00+00:00,2021-01-02 13:14:00+00:00,754.61,754.61,762.1561,10034.408228211634,2508.6020570529085,20.02117810335949,0.007981009999999863,1,29,take_profit
normal,2021-01-02 13:15:00+00:00,2021-01-02 13:18:00+00:00,759.87,759.87,767.4687,10054.429406314994,2513.6073515787484,20.06112540902359,0.007981010000000033,1,4,take_profit
normal,2021-01-02 13:19:00+00:00,2021-01-02 16:08:00+00:00,766.2,766.2,773.8620000000001,10074.490531724017,2518.6226329310043,20.10115241964877,0.007981010000000038,1,170,take_profit
normal,2021-01-02 16:09:00+00:00,2021-01-02 16:57:00+00:00,772.69,772.69,780.4169,10094.591684143666,2523.6479210359166,20.141259294267456,0.007981010000000236,1,49,take_profit
normal,2021-01-02 16:58:00+00:00,2021-01-02 20:57:00+00:00,780.42,768.5354314720811,757.0074,10114.732943437933,5057.366471718967,-85.81852751909537,-0.01696901499999983,2,240,stop_loss
recovery,2021-01-02 20:58:00+00:00,2021-01-02 21:03:00+00:00,756.27,756.27,763.8326999999999,10028.914415918836,5014.457207959418,40.020433121295355,0.007981009999999832,1,6,take_profit
