stage,param,value,score,param_normal_initial_pct,param_normal_dca_pct,param_normal_dca_drop,param_normal_sl_pct,param_normal_tp_pct,param_recovery_initial_pct,param_recovery_dca1_pct,param_recovery_dca1_drop,param_recovery_dca2_pct,param_recovery_dca2_drop,param_recovery_sl_pct,param_recovery_tp_pct,param_sl_ref,param_fee_rate,param_capital,param_min_equity_frac_of_peak,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,normal_cycles,recovery_cycles,normal_wins,recovery_wins,tp_exits,sl_exits
search:normal_sl_pct,normal_sl_pct,0.05,-110.42605669832005,0.15,0.25,0.05,0.05,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,3578.4158438394543,-64.21584156160546,-48.161876864513175,1014,79.88165680473372,0.43713927873580904,69.43342172642065,0.6884498298736694,3666.602156043101,862.0128205128206,288.5,24914.0,810,204,623,187,809,204
search:normal_sl_pct,normal_sl_pct,0.06,-103.56397492049189,0.15,0.25,0.05,0.06,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,4112.075489145554,-58.87924510854447,-48.161876864513175,938,83.7953091684435,0.44887235437846196,64.51996424365318,0.6994084617825088,3226.610916316178,931.8560767590618,299.5,24490.0,786,152,647,139,785,152
search:normal_sl_pct,normal_sl_pct,0.08,-76.02890458254673,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,6171.984648171663,-38.28015351828336,-48.161876864513175,774,88.50129198966408,0.4887153774225422,45.38273899329848,0.7790161168538995,2801.5884119297352,1129.3036175710595,312.0,16850.0,686,88,604,81,685,88
search:recovery_sl_pct,recovery_sl_pct,0.06,-78.54973790006412,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.06,0.012,p0,0.001,10000.0,0.0,5891.146051932039,-41.08853948067961,-48.161876864513175,836,87.32057416267942,0.4509528971611003,47.04102522792371,0.7843409897343251,3194.642328509695,1045.5514354066986,287.5,16850.0,731,105,643,87,730,105
search:recovery_sl_pct,recovery_sl_pct,0.08,-72.71551731812893,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.08,0.012,p0,0.001,10000.0,0.0,6331.1019545158615,-36.68898045484138,-48.161876864513175,811,88.03945745992601,0.4942911829901059,43.31222703524753,0.8040114869382552,3192.168297930329,1077.7817509247843,289.0,16850.0,715,96,630,84,714,96
search:recovery_sl_pct,recovery_sl_pct,0.1,-77.1223397856032,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.1,0.012,p0,0.001,10000.0,0.0,6062.255511227364,-39.37744488772636,-48.161876864513175,800,88.25,0.48554232939601116,46.35375646242035,0.7779051551408475,2895.3771331908833,1092.60125,297.5,16850.0,707,93,622,84,706,93
search:recovery_sl_pct,recovery_sl_pct,0.12,-76.02890458254673,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.12,0.012,p0,0.001,10000.0,0.0,6171.984648171663,-38.28015351828336,-48.161876864513175,774,88.50129198966408,0.4887153774225422,45.38273899329848,0.7790161168538995,2801.5884119297352,1129.3036175710595,312.0,16850.0,686,88,604,81,685,88
search:recovery_sl_pct,recovery_sl_pct,0.15,-82.80987739473616,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.15,0.012,p0,0.001,10000.0,0.0,5736.72923438131,-42.63270765618691,-48.161876864513175,749,88.78504672897196,0.4876769611217983,49.23441068315103,0.7465931577735765,2584.0072233843634,1166.9973297730307,336.0,16850.0,666,83,588,77,665,83
search:recovery_sl_pct,recovery_sl_pct,0.2,-47.12607079155704,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,8577.547196322776,-14.224528036772243,-48.161876864513175,682,89.00293255131965,0.5245729555535891,31.625920309178586,0.9185304851362642,3238.7901314370083,1281.6436950146629,404.0,27115.0,608,74,535,72,607,74
search:normal_tp_pct,normal_tp_pct,0.006,-96.47515923521323,0.15,0.25,0.05,0.08,0.006,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,4222.433085674136,-57.775669143258646,-48.161876864513175,1589,95.28005034612964,0.1338170746966428,62.73011506958148,0.6198690911005789,4292.73679738291,550.0824417872876,53.0,24191.0,1515,74,1444,70,1514,74
search:normal_tp_pct,normal_tp_pct,0.008,-75.86968878397587,0.15,0.25,0.05,0.08,0.008,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,5896.745860231684,-41.03254139768316,-48.161876864513175,1223,93.86753883892068,0.24100883853031266,50.61556487343035,0.7450947595206673,4054.1971397712623,714.7023712183156,112.0,27115.0,1149,74,1077,71,1148,74
search:normal_tp_pct,normal_tp_pct,0.01,-54.196417971673895,0.15,0.25,0.05,0.08,0.01,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,7629.939496132166,-23.700605038678347,-48.161876864513175,987,92.40121580547113,0.33906151999259926,37.37579337696713,0.8550201118364887,3855.5294311058456,885.5937183383992,202.0,27115.0,913,74,840,72,912,74
search:normal_tp_pct,normal_tp_pct,0.012,-82.18000793311218,0.15,0.25,0.05,0.08,0.012,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,5596.010953775075,-44.039890462249254,-48.161876864513175,876,91.0958904109589,0.3966420244812744,49.67198532224336,0.7562015698705921,3273.7456956359624,997.8093607305937,260.5,27042.0,799,77,725,73,798,77
search:normal_tp_pct,normal_tp_pct,0.015,-47.12607079155704,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,8577.547196322776,-14.224528036772243,-48.161876864513175,682,89.00293255131965,0.5245729555535891,31.625920309178586,0.9185304851362642,3238.7901314370083,1281.6436950146629,404.0,27115.0,608,74,535,72,607,74
search:normal_tp_pct,normal_tp_pct,0.02,-71.72253854188655,0.15,0.25,0.05,0.08,0.02,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,6969.554274328692,-30.30445725671308,-48.161876864513175,515,85.8252427184466,0.6255158961024447,37.576304965168944,0.8304149066592339,2549.8340627089383,1697.2446601941747,724.0,27112.0,442,73,372,70,441,73
search:recovery_tp_pct,recovery_tp_pct,0.008,-65.73313722009998,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.2,0.008,p0,0.001,10000.0,0.0,7029.207896059281,-29.707921039407193,-48.161876864513175,719,89.01251738525731,0.4845225400895546,39.632036441125955,0.8202975225194635,3044.288214008115,1215.6898470097358,364.0,26491.0,641,78,564,76,640,78
search:recovery_tp_pct,recovery_tp_pct,0.01,-53.157781178075865,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.2,0.01,p0,0.001,10000.0,0.0,8072.35184296296,-19.276481570370397,-48.161876864513175,693,89.17748917748918,0.516097630285062,34.127928700740426,0.8844115238102692,3124.1043449615017,1261.3001443001442,385.0,26483.0,619,74,546,72,618,74
search:recovery_tp_pct,recovery_tp_pct,0.012,-47.12607079155704,0.15,0.25,0.05,0.08,0.015,0.5,0.25,0.03,0.25,0.08,0.2,0.012,p0,0.001,10000.0,0.0,8577.547196322776,-14.224528036772243,-48.161876864513175,682,89.00293255131965,0.5245729555535891,31.625920309178586,0.9185304851362642,3238.7901314370083,1281.6436950146629,404.0,27115.0,608,74,535,72,607,74
