mode,entry_time,exit_time,p0,avg_entry,exit_price,budget,spent,pnl,pnl_pct,fills,hold_bars,reason
normal,2021-01-01 00:00:00+00:00,2021-01-02 12:45:00+00:00,736.42,736.42,751.1483999999999,10000.0,1500.0,26.94152999999983,0.017961019999999887,1,2206,take_profit
normal,2021-01-02 12:46:00+00:00,2021-01-02 13:18:00+00:00,754.61,754.61,769.7022000000001,10026.94153,1504.0412294999999,27.014114603874077,0.017961019999999994,1,33,take_profit
normal,2021-01-02 13:19:00+00:00,2021-01-02 16:58:00+00:00,766.2,766.2,781.5240000000001,10053.955644603873,1508.093346690581,27.08689476177642,0.017961019999999973,1,220,take_profit
normal,2021-01-02 16:59:00+00:00,2021-01-03 06:15:00+00:00,781.37,781.37,796.9974,10081.04253936565,1512.1563809048473,27.159871000559406,0.017961019999999883,1,797,take_profit
normal,2021-01-03 06:16:00+00:00,2021-01-03 08:41:00+00:00,798.28,798.28,814.2456,10108.202410366208,1516.230361554931,27.2330438484953,0.017961019999999966,1,146,take_profit
normal,2021-01-03 08:42:00+00:00,2021-01-03 11:07:00+00:00,815.19,815.19,831.4938000000001,10135.435454214703,1520.3153181322054,27.306413835279045,0.01796102000000009,1,146,take_profit
normal,2021-01-03 11:08:00+00:00,2021-01-03 13:26:00+00:00,831.02,831.02,847.6404,10162.741868049983,1524.4112802074974,27.379981492032357,0.01796101999999993,1,139,take_profit
normal,2021-01-03 13:27:00+00:00,2021-01-03 13:37:00+00:00,847.1,847.1,864.042,10190.121849542014,1528.518277431302,27.453747351309403,0.017961020000000154,1,11,take_profit
normal,2021-01-03 13:38:00+00:00,2021-01-03 13:43:00+00:00,865.03,865.03,882.3306,10217.575596893324,1532.6363395339986,27.527711947097032,0.01796102000000006,1,6,take_profit
normal,2021-01-03 13:44:00+00:00,2021-01-03 14:25:00+00:00,879.09,879.09,896.6718000000001,10245.10330884042,1536.765496326063,27.60187581482228,0.01796101999999996,1,42,take_profit
normal,2021-01-03 14:26:00+00:00,2021-01-03 14:32:00+00:00,894.72,894.72,912.6144,10272.705184655242,1540.9057776982863,27.67623949135441,0.017961019999999956,1,7,take_profit
normal,2021-01-03 14:33:00+00:00,2021-01-03 16:01:00+00:00,913.06,913.06,931.3212,10300.381424146597,1545.0572136219896,27.75080351500901,0.01796102000000012,1,89,take_profit
normal,2021-01-03 16:02:00+00:00,2021-01-03 16:06:00+00:00,932.62,932.62,951.2724000000001,10328.132227661607,1549.219834149241,27.82556842555141,0.017961020000000136,1,5,take_profit
normal,2021-01-03 16:07:00+00:00,2021-01-03 16:24:00+00:00,951.59,951.59,970.6218,10355.95779608716,1553.393669413074,27.90053476420144,0.01796101999999989,1,18,take_profit
normal,2021-01-03 16:25:00+00:00,2021-01-03 17:22:00+00:00,970.01,939.1179617834395,957.9003210191082,10383.85833085136,4153.543332340544,74.60187486303494,0.017961019999999946,2,58,take_profit
normal,2021-01-03 17:23:00+00:00,2021-01-03 20:06:00+00:00,956.24,925.7864968152866,944.3022267515923,10458.460205714395,4183.384082285758,75.1378451696155,0.017961019999999845,2,164,take_profit
normal,2021-01-03 20:07:00+00:00,2021-01-03 20:39:00+00:00,944.95,944.9500000000002,963.8490000000002,10533.598050884011,1580.0397076326017,28.37912478958333,0.01796102000000001,1,33,take_profit
normal,2021-01-03 20:40:00+00:00,2021-01-03 22:28:00+00:00,961.57,961.57,980.8014000000001,10561.977175673595,1584.2965763510392,28.455582493772454,0.017961019999999946,1,109,take_profit
normal,2021-01-03 22:29:00+00:00,2021-01-03 23:41:00+00:00,981.8,981.7999999999998,1001.4359999999998,10590.432758167368,1588.564913725105,28.5322461867147,0.017961019999999883,1,73,take_profit
normal,2021-01-03 23:42:00+00:00,2021-01-04 03:24:00+00:00,1007.29,975.2107006369428,994.7149146496816,10618.965004354082,4247.586001741633,76.29097712900239,0.01796102000000021,2,223,take_profit
normal,2021-01-04 03:25:00+00:00,2021-01-04 03:47:00+00:00,994.44,994.44,1014.3288000000001,10695.255981483086,1604.288397222463,28.81465598828072,0.017961020000000074,1,23,take_profit
normal,2021-01-04 03:48:00+00:00,2021-01-04 04:14:00+00:00,1011.8,1011.8000000000001,1032.036,10724.070637471366,1608.610595620705,28.892287080155484,0.017961020000000057,1,27,take_profit
normal,2021-01-04 04:15:00+00:00,2021-01-04 05:23:00+00:00,1031.05,1031.05,1051.671,10752.962924551523,1612.9444386827283,28.970127322069402,0.01796102000000009,1,69,take_profit
normal,2021-01-04 05:24:00+00:00,2021-01-04 05:46:00+00:00,1053.9,1053.9,1074.978,10781.933051873591,1617.2899577810388,29.048177277504465,0.017961020000000043,1,23,take_profit
normal,2021-01-04 05:47:00+00:00,2021-01-04 05:56:00+00:00,1073.69,1073.69,1095.1638,10810.981229151097,1621.6471843726645,29.126437511460836,0.017961019999999828,1,10,take_profit
normal,2021-01-04 05:57:00+00:00,2021-01-04 06:24:00+00:00,1095.73,1095.73,1117.6446,10840.107666662558,1626.0161499993835,29.204908590461855,0.017961019999999956,1,28,take_profit
normal,2021-01-04 06:25:00+00:00,2021-01-04 06:36:00+00:00,1123.2,1123.2,1145.664,10869.31257525302,1630.3968862879528,29.28359108255563,0.01796101999999999,1,12,take_profit
normal,2021-01-04 06:37:00+00:00,2021-01-04 07:20:00+00:00,1145.65,1109.164331210191,1053.998,10898.596166335574,4359.4384665342295,-225.10578759157215,-0.05163641815789457,2,44,stop_loss
recovery,2021-01-04 07:21:00+00:00,2021-01-04 07:27:00+00:00,1051.58,1051.58,1064.19896,10673.490378744002,5336.745189372001,53.24477079530698,0.009977012000000047,1,7,take_profit
normal,2021-01-04 07:28:00+00:00,2021-01-04 09:26:00+00:00,1063.9,1030.0178343949044,978.7880000000001,10726.735149539309,4290.694059815723,-221.55607266023935,-0.05163641815789465,2,119,stop_loss
recovery,2021-01-04 09:27:00+00:00,2021-01-04 10:00:00+00:00,981.38,971.365918367347,983.0223093877552,10505.179076879069,7878.884307659302,78.60772328412804,0.009977011999999936,2,34,take_profit
normal,2021-01-04 10:01:00+00:00,2021-01-04 10:16:00+00:00,981.5,950.2420382165604,902.98,10583.786800163198,4233.514720065279,-218.60353636289346,-0.05163641815789474,2,16,stop_loss
recovery,2021-01-04 10:17:00+00:00,2021-01-04 10:17:00+00:00,895.46,895.46,906.2055200000001,10365.183263800305,5182.591631900153,51.70677890256775,0.009977012000000066,1,1,take_profit
normal,2021-01-04 10:18:00+00:00,2021-01-04 10:19:00+00:00,906.55,906.55,924.6809999999999,10416.890042702873,1562.533506405431,28.06469555921808,0.017961020000000005,1,2,take_profit
normal,2021-01-04 10:20:00+00:00,2021-01-04 10:35:00+00:00,927.51,927.5100000000001,946.0602000000001,10444.954738262091,1566.7432107393136,28.140306142953023,0.017961019999999998,1,16,take_profit
normal,2021-01-04 10:36:00+00:00,2021-01-04 10:52:00+00:00,947.0,947.0,965.94,10473.095044405043,1570.9642566607565,28.216120433168953,0.017961019999999984,1,17,take_profit
normal,2021-01-04 10:53:00+00:00,2021-01-04 12:18:00+00:00,965.0,964.9999999999999,984.3,10501.311164838213,1575.1966747257318,28.292138978682488,0.017961020000000077,1,86,take_profit
normal,2021-01-04 12:19:00+00:00,2021-01-04 12:40:00+00:00,980.88,980.88,1000.4976,10529.603303816895,1579.4404955725342,28.368362329788397,0.017961020000000126,1,22,take_profit
normal,2021-01-04 12:41:00+00:00,2021-01-04 12:47:00+00:00,999.33,999.3299999999999,1019.3166,10557.971666146683,1583.6957499220023,28.44479103826393,0.017961019999999904,1,7,take_profit
normal,2021-01-04 12:48:00+00:00,2021-01-04 14:53:00+00:00,1015.78,1015.78,1036.0955999999999,10586.416457184947,1587.962468577742,28.52142565737404,0.0179610199999999,1,126,take_profit
normal,2021-01-04 14:54:00+00:00,2021-01-04 15:29:00+00:00,1036.56,1036.56,1057.2912,10614.937882842321,1592.2406824263483,28.598266741873204,0.017961019999999946,1,36,take_profit
normal,2021-01-04 15:30:00+00:00,2021-01-04 19:34:00+00:00,1056.51,1022.8631847133759,1043.3204484076434,10643.536149584193,4257.414459833677,76.46750626136327,0.017961020000000327,2,245,take_profit
normal,2021-01-04 19:35:00+00:00,2021-01-05 00:04:00+00:00,1043.51,1043.51,1064.3802,10720.003655845558,1608.0005483768336,28.88133000940752,0.01796102000000015,1,270,take_profit
normal,2021-01-05 00:05:00+00:00,2021-01-05 00:10:00+00:00,1064.39,1064.39,1085.6778000000002,10748.884985854966,1612.3327478782448,28.959140731296202,0.017961020000000057,1,6,take_profit
normal,2021-01-05 00:11:00+00:00,2021-01-05 00:33:00+00:00,1088.02,1088.02,1109.7804,10777.844126586262,1616.6766189879393,29.03716108717481,0.017961020000000032,1,23,take_profit
normal,2021-01-05 00:34:00+00:00,2021-01-05 00:45:00+00:00,1110.98,1110.98,1133.1996000000001,10806.881287673436,1621.0321931510152,29.115391641829547,0.017961020000000185,1,12,take_profit
normal,2021-01-05 00:46:00+00:00,2021-01-05 01:31:00+00:00,1122.2,1086.4611464968152,1108.1903694267514,10835.996679315265,4334.398671726106,77.85022123084491,0.017961019999999744,2,46,take_profit
normal,2021-01-05 01:32:00+00:00,2021-01-05 03:43:00+00:00,1107.3,1072.0356687898088,1018.716,10913.846900546112,4365.538760218445,-225.4207849071363,-0.05163641815789458,2,132,stop_loss
recovery,2021-01-05 03:44:00+00:00,2021-01-05 04:26:00+00:00,1019.3,1008.8989795918367,1021.0057673469387,10688.426115638977,8016.3195867292325,79.97891671263187,0.00997701199999991,2,43,take_profit
normal,2021-01-05 04:27:00+00:00,2021-01-05 08:17:00+00:00,1019.94,1019.94,1040.3388,10768.40503235161,1615.2607548527415,29.01173072312531,0.017961020000000077,1,231,take_profit
normal,2021-01-05 08:18:00+00:00,2021-01-05 15:23:00+00:00,1041.01,1041.01,1061.8302,10797.416763074734,1619.6125144612101,29.089892764488013,0.017961019999999956,1,426,take_profit
normal,2021-01-05 15:24:00+00:00,2021-01-05 16:25:00+00:00,1061.3,1061.3,1082.526,10826.506655839221,1623.9759983758831,29.168265386349503,0.017961020000000185,1,62,take_profit
