phase,sl,ref,tp,hold_h,crash_combo,r22_ret,r25_ret,r22_avgH,r25_avgH,r22_maxH,r25_maxH,r22_dd,r25_dd,full_score,full_param_initial_pct,full_param_dca_level_weights,full_param_sub_order_weights,full_param_dca_depths,full_param_take_profit_pct,full_param_fee_rate,full_param_capital,full_param_reentry_delay_bars,full_param_stop_loss_pct,full_param_stop_loss_ref,full_param_max_hold_bars,full_equity_final,full_total_return_pct,full_buy_hold_return_pct,full_num_cycles,full_win_rate,full_avg_pnl_pct,full_max_drawdown_pct,full_profit_factor,full_total_fees,full_avg_hold_bars,full_median_hold_bars,full_max_hold_bars_seen,full_tp_exits,full_sl_exits,full_time_exits
crash_refine,0.1,wap,0.012,72,-123.18684999969813,-72.92158028505098,-70.07607025646483,8.20596674711719,10.831239157372986,72.0,72.0,76.26727001745259,73.99993131842557,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.012,168,-123.654613377766,-66.44841734544399,-66.740368872192,8.831183261183261,12.857914092380112,168.0,168.0,72.30239185801781,71.6682626032065,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.02,0,-157.5201948527856,-69.30952444101264,-65.28259875914063,18.117258732978094,25.117270114942528,253.28333333333333,727.15,75.189429105946,72.75458548709919,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.02,48,-123.45688826387054,-72.09579888669857,-59.36679233532196,13.839914066033469,17.65820202020202,48.0,48.0,75.98950126586404,64.90830134828556,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.02,72,-129.6188259965288,-69.07217049220463,-65.14507251399644,15.620239918325677,20.205293573740175,72.0,72.0,71.32384029986211,71.08084580848843,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.02,168,-138.4246409326345,-68.01800202927673,-64.03882051456475,18.085135933806146,23.7264115092291,168.0,168.0,74.26877853592079,70.78708403491183,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.03,0,-179.53688781238063,-63.25357186824696,-62.86076087868872,32.903279569892476,44.145505050505044,306.1333333333333,729.6833333333333,73.35308217712526,72.41454585375459,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.03,48,-137.44269097230347,-71.20072920338689,-63.34850909299649,21.074414600550963,26.3913345410628,48.0,48.0,75.37694227963128,67.59532424437523,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.03,72,-143.21094765671876,-68.11959583205866,-62.727015174453136,25.24756600660066,31.73859840232389,72.0,72.0,70.9842794510963,68.78469320121226,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.1,wap,0.03,168,-150.33709622716856,-60.958552180173534,-52.0407325833961,30.63068068068068,42.226135265700485,168.0,168.0,72.55832260756165,64.30764132842884,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.012,48,-123.86867922905913,-74.86264336983102,-71.94550073157731,7.864315086096119,10.339259522119706,48.0,48.0,78.11346795734137,74.82842636351678,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.012,72,-117.38874623951477,-65.64386198058062,-66.8848690003968,9.180933093309331,11.319360269360269,72.0,72.0,70.99549017670942,71.88966861006323,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.012,168,-119.06352474675161,-70.66212581537611,-50.97493024662572,10.292650521358896,15.034072927416581,168.0,168.0,77.4717970026479,59.63911023810358,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.02,0,-159.60730796758406,-69.53282295529714,-49.877014873468816,21.074414600550963,32.230125368731564,429.2,727.1833333333333,75.68416109945052,62.15761998013111,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.02,48,-125.21594700691338,-68.76971147807494,-63.55716721433827,14.44761567516525,18.09691511387164,48.0,48.0,74.779955803934,68.52719783575093,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.02,72,-133.91960276399018,-71.76119331285305,-66.3169280997993,16.748795840175152,20.722641062114747,72.0,72.0,75.40003993718915,72.05313508924004,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.02,168,-138.54815607346404,-70.21033686727105,-54.067757713266474,20.278363154406893,28.453157552083333,168.0,168.0,76.49757215453819,63.32673119358444,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.03,0,-189.18082747493452,-62.00244902176899,-52.321904690896815,36.42863095238095,56.2471685971686,428.51666666666665,845.5,71.75592317080236,64.51689589485456,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.03,48,-135.97438062829178,-64.20448578031015,-66.22518191075142,22.12584960231381,26.82875997544506,48.0,48.0,70.7670177282077,69.87115826931155,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.03,72,-146.1423774166173,-64.23753373065908,-67.70588599581819,26.701614310645724,32.59064131245339,72.0,72.0,69.71883769017028,72.95438824784884,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.15,p0,0.03,168,-155.11940806943815,-59.485906890665994,-52.20018437957402,34.459515765765765,46.39495753715499,168.0,168.0,69.58553970504309,64.79449343774613,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.012,48,-116.56822408775409,-67.99089813929962,-66.12072393782351,8.877299100667246,11.069921479229992,48.0,48.0,73.2955541387672,69.60221303576432,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.012,72,-118.49663027936714,-59.94418247439215,-70.33411281076806,10.50465156196361,12.515478235967926,72.0,72.0,69.59298452123154,74.81761676027241,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.012,168,-130.27084078651993,-67.85739869512204,-65.33992603762651,12.765978306216104,16.4796568627451,168.0,168.0,76.53799637362214,71.63067937493228,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.02,0,-183.89687947784572,-56.63042070204614,-47.4761742547957,33.77488962472406,43.357192460317464,680.4833333333333,1051.7833333333333,73.0231284139189,63.367332781534415,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.02,48,-122.53354841045604,-65.21397163531906,-60.87289869131456,15.863167444271644,18.821726959517658,48.0,48.0,71.90851528166475,66.20900669298976,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.02,72,-121.74617375740895,-57.9830454856505,-55.744276050766814,19.465680661577608,23.05065928270042,72.0,72.0,67.36459189112252,63.28099935772984,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.02,168,-146.83601192766935,-66.03720036821778,-60.9074547392914,25.69273719563392,30.7991895701198,168.0,168.0,75.31629424995418,69.54921374826564,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.03,0,-242.81885049461988,-58.684916571435984,-44.572866408678365,68.00011111111111,82.77282196969696,784.5166666666667,1131.4833333333333,73.38561460058945,60.88220403921781,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.03,48,-133.9095294714815,-66.14388031555202,-58.584719347810875,23.502342549923195,28.069396274887605,48.0,48.0,72.35085546046611,63.05548018927586,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.03,72,-141.1180030454624,-56.964287200549165,-60.815215050358816,29.737657920310983,34.93529176658673,72.0,72.0,66.6987959123013,67.18360255363255,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.2,wap,0.03,168,-174.7054459738854,-65.9370509389316,-62.10079235690862,41.632721088435375,50.7596399535424,168.0,168.0,74.54575157515782,72.08648640031751,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.012,48,-114.77019366488196,-67.02724558435487,-63.05843221537879,9.392280540208718,11.372378350247203,48.0,48.0,74.27366196673191,66.85460735403781,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.012,72,-119.95434820034242,-63.838629740722695,-67.607955685446,11.473584551931008,12.914908392434988,72.0,72.0,71.22846398997089,72.50347280551172,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.012,168,-133.61258927441278,-65.2766845169724,-64.86318263270199,15.96246739697444,21.02166907166907,168.0,168.0,72.77977289357013,71.24046420906525,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.02,0,-1330.5921167113393,-70.09499266010698,-42.64298643833009,728.5726190476191,373.5388888888889,9477.183333333332,7114.55,80.12693946200137,65.85600665535974,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.02,48,-117.20443458581785,-59.6535993990031,-56.291519412689205,17.028408458542014,19.320977011494254,48.0,48.0,69.1690631520311,62.25243052549999,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.02,72,-124.98121051355145,-60.02582765146182,-56.81258738171488,21.338947001394697,23.271592119275827,72.0,72.0,66.96194945377542,64.16737790826997,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash_refine,0.0,p0,0.02,168,-150.6416045772659,-61.81645595931477,-57.53194121945351,30.63068068068068,38.744725177304964,168.0,168.0,68.79500809948014,66.91988787559772,,,,,,,,,,,,,,,,,,,,,,,,,,,
