entry_time,exit_time,p0,avg_entry,exit_price,pnl,pnl_pct,hold_bars,reason
2021-01-01 00:00:00+00:00,2021-01-01 01:38:00+00:00,736.42,733.0132940728904,747.6735599543482,29.20328807407418,0.01796102000000006,99,take_profit
2021-01-01 01:39:00+00:00,2021-01-02 12:45:00+00:00,748.18,737.1451037346953,751.8880058093893,110.41591221930685,0.017961020000000105,2107,take_profit
2021-01-02 12:46:00+00:00,2021-01-02 13:17:00+00:00,754.61,751.1191464657993,766.1415293951153,29.611022046757853,0.017961019999999894,32,take_profit
2021-01-02 13:18:00+00:00,2021-01-02 16:08:00+00:00,766.07,759.1129372077307,774.2951959518854,60.54500886304095,0.017961020000000077,171,take_profit
2021-01-02 16:09:00+00:00,2021-01-02 17:01:00+00:00,772.69,769.1155077227422,784.4978178771971,29.87430730098572,0.017961020000000178,53,take_profit
2021-01-02 17:02:00+00:00,2021-01-03 05:11:00+00:00,783.92,772.3579749788853,787.8051344784631,112.95299639517452,0.017961019999999706,730,take_profit
2021-01-03 05:12:00+00:00,2021-01-03 06:20:00+00:00,785.98,785.98,801.6996,9.315126079068932,0.017961020000000074,69,take_profit
2021-01-03 06:21:00+00:00,2021-01-03 08:40:00+00:00,800.16,796.4584304953207,812.3875991052272,30.318613221486885,0.017961019999999935,140,take_profit
2021-01-03 08:41:00+00:00,2021-01-03 10:52:00+00:00,812.73,812.73,828.9846,9.350719198281467,0.01796101999999995,132,take_profit
2021-01-03 10:53:00+00:00,2021-01-03 13:22:00+00:00,827.94,827.94,844.4988000000001,9.359116621008297,0.017961020000000126,150,take_profit
2021-01-03 13:23:00+00:00,2021-01-03 13:37:00+00:00,844.65,844.65,861.543,9.367521585048962,0.017961020000000227,15,take_profit
2021-01-03 13:38:00+00:00,2021-01-03 13:43:00+00:00,865.03,865.03,882.3306,9.375934097175787,0.017961019999999942,6,take_profit
2021-01-03 13:44:00+00:00,2021-01-03 14:23:00+00:00,879.09,871.10654635992,888.5286772871184,62.214792421703805,0.017961019999999793,40,take_profit
2021-01-03 14:24:00+00:00,2021-01-03 14:29:00+00:00,890.94,890.94,908.7588000000001,9.440226220716795,0.017961019999999942,6,take_profit
2021-01-03 14:30:00+00:00,2021-01-03 14:36:00+00:00,906.63,902.4358963706915,920.4846142981053,30.725785682319156,0.017961019999999966,7,take_profit
2021-01-03 14:37:00+00:00,2021-01-03 16:00:00+00:00,917.46,903.9283954027558,922.0069633108109,116.17238600539804,0.017961019999999984,84,take_profit
2021-01-03 16:01:00+00:00,2021-01-03 16:05:00+00:00,929.98,929.98,948.5796,9.580626075296891,0.017961019999999998,5,take_profit
