stage,param,value,score,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits
preserve:take_profit_pct,take_profit_pct,0.005,86.45781392311659,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.005,0.001,10000.0,0,0.0,wap,0,19301.367669750398,93.01367669750398,152.72041464275054,4184,99.97609942638623,0.2943729816296675,63.705751829249266,2.991821358255275,9404.061946010666,701.1584608030593,25.0,928913.0,4183,0,0
preserve:take_profit_pct,take_profit_pct,0.008,95.76424471977947,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.008,0.001,10000.0,0,0.0,wap,0,20231.400430731366,102.31400430731368,152.72041464275054,2403,99.95838535164377,0.5832302279400602,63.66506391689476,1.89529307643256,7315.096581799993,1220.826883062838,68.0,929729.0,2402,0,0
preserve:take_profit_pct,take_profit_pct,0.01,118.70938254356132,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.01,0.001,10000.0,0,0.0,wap,0,22526.524531794872,125.26524531794871,152.72041464275054,1825,99.94520547945206,0.777778379482284,63.70575182924928,1.97621221473025,6441.127984559726,1607.477808219178,117.0,929126.0,1824,0,0
preserve:take_profit_pct,take_profit_pct,0.012,126.55529160810302,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.012,0.001,10000.0,0,0.0,wap,0,23310.50511956372,133.10505119563723,152.72041464275054,1401,99.92862241256245,0.9710307766604009,63.66506391689477,1.9990960211007225,5428.182454022013,2093.9664525339044,166.0,929942.0,1400,0,0
preserve:take_profit_pct,take_profit_pct,0.015,149.91501744097317,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.015,0.001,10000.0,0,0.0,wap,0,25647.807992031798,156.47807992031798,152.72041464275054,1053,99.90503323836657,1.2613325888900386,63.75374986229873,2.0674993805788637,4771.5637142589285,2785.9895536562203,261.0,929156.0,1052,0,0
preserve:take_profit_pct,take_profit_pct,0.02,162.74228755195017,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.02,0.001,10000.0,0,0.0,wap,0,26930.535003129495,169.30535003129498,152.72041464275054,686,99.85422740524781,1.740740315580004,63.75374986229875,2.1088583393473224,3688.6103093015226,4276.453352769679,461.0,929237.0,685,0,0
preserve:take_profit_pct,take_profit_pct,0.025,140.73902696491248,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.025,0.001,10000.0,0,0.0,wap,0,24732.221402552073,147.32221402552074,152.72041464275054,461,99.78308026030369,2.2118231369630355,63.88791373738828,2.0545354919202636,2594.6436882616276,6363.6594360086765,626.0,931528.0,460,0,0
preserve:take_profit_pct,take_profit_pct,0.03,199.16425324430472,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,30576.643350105907,205.76643350105908,152.72041464275054,398,99.74874371859298,2.6957068570382443,64.01453504502915,2.177467963065884,2841.8471268653543,7370.972361809046,913.0,931542.0,397,0,0
preserve:initial_pct,initial_pct,0.03,151.04526153842798,0.03,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,25759.331385696227,157.59331385696225,152.72041464275054,416,99.75961538461539,2.704191631750939,63.653682123561794,2.155930244767512,2199.569396652391,7052.036057692308,776.5,931528.0,415,0,0
preserve:initial_pct,initial_pct,0.05,199.16425324430472,0.05,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,30576.643350105907,205.76643350105908,152.72041464275054,398,99.74874371859298,2.6957068570382443,64.01453504502915,2.177467963065884,2841.8471268653543,7370.972361809046,913.0,931542.0,397,0,0
preserve:initial_pct,initial_pct,0.08,226.15694802734916,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,33269.911433485846,232.69911433485845,152.72041464275054,338,99.70414201183432,2.680278409377717,63.61444205006196,2.260928921671923,3114.899466460194,8679.42899408284,953.0,934260.0,337,0,0
preserve:initial_pct,initial_pct,0.1,218.37196496872184,0.1,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,32496.55910950183,224.9655910950183,152.72041464275054,303,99.66996699669967,2.6647881674794474,63.9575075086432,2.2101915562334264,3067.1084848981877,9682.003300330032,964.0,934261.0,302,0,0
preserve:initial_pct,initial_pct,0.15,182.18006698330365,0.15,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,28886.931233461502,188.86931233461502,152.72041464275054,231,99.56709956709958,2.6162780098929734,64.59496900874242,2.0540232760159616,2748.4189559825477,12699.770562770564,1019.0,934374.0,230,0,0
preserve:dca_depths,dca_depths,"[0.02, 0.06, 0.15, 0.3]",117.7297141882603,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.06, 0.15, 0.3]",0.03,0.001,10000.0,0,0.0,wap,0,22615.01374987472,126.15013749874721,152.72041464275054,239,99.581589958159,2.584405441597932,76.13615540324605,1.6209104220759578,2456.96292325509,12274.673640167364,735.0,1177799.0,238,0,0
preserve:dca_depths,dca_depths,"[0.03, 0.1, 0.25, 0.5]",226.15694802734916,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.1, 0.25, 0.5]",0.03,0.001,10000.0,0,0.0,wap,0,33269.911433485846,232.69911433485845,152.72041464275054,338,99.70414201183432,2.680278409377717,63.61444205006196,2.260928921671923,3114.899466460194,8679.42899408284,953.0,934260.0,337,0,0
preserve:dca_depths,dca_depths,"[0.02, 0.08, 0.2, 0.4]",118.57134066352327,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.02, 0.08, 0.2, 0.4]",0.03,0.001,10000.0,0,0.0,wap,0,22566.58649813408,125.66586498134077,152.72041464275054,256,99.609375,2.6157365766398537,67.29682878545003,1.742169246814906,2204.179055025266,11459.55859375,892.5,984699.0,255,0,0
preserve:dca_depths,dca_depths,"[0.03, 0.08, 0.18, 0.35]",316.8614395145659,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.0,wap,0,42518.95965890283,325.18959658902827,152.72041464275054,322,99.68944099378882,2.688580331354787,75.52104716308222,2.6877481637842484,3864.893116188726,9110.7049689441,917.5,1176618.0,321,0,0
preserve:dca_depths,dca_depths,"[0.05, 0.12, 0.25, 0.45]",104.99036119001708,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.05, 0.12, 0.25, 0.45]",0.03,0.001,10000.0,0,0.0,wap,0,21184.35924179306,111.84359241793058,152.72041464275054,284,99.64788732394366,2.644891767390078,65.68820818609001,1.8058726875418698,1876.241784909777,10329.742957746479,927.0,932402.0,283,0,0
