entry_time,exit_time,p0,avg_entry,pnl,pnl_pct,hold_bars,reason,fills
2021-01-01 00:00:00+00:00,2021-01-02 12:38:00+00:00,736.42,727.2177593724901,36.45934257142858,0.022951025000000003,2199,take_profit,5
2021-01-02 12:39:00+00:00,2021-01-02 13:16:00+00:00,746.56,746.56,18.42776234262726,0.022951025000000035,38,take_profit,1
2021-01-02 13:17:00+00:00,2021-01-02 17:00:00+00:00,765.29,764.5276929406668,20.483581683380976,0.022951025000000024,224,take_profit,2
2021-01-02 17:01:00+00:00,2021-01-03 06:09:00+00:00,783.36,773.5712011923004,36.73413913967852,0.022951024999999983,789,take_profit,5
2021-01-03 06:10:00+00:00,2021-01-03 08:41:00+00:00,793.94,793.94,18.56665365264905,0.022951025000000003,152,take_profit,1
2021-01-03 08:42:00+00:00,2021-01-03 12:17:00+00:00,815.19,815.19,18.600743551220944,0.022951025000000038,216,take_profit,1
2021-01-03 12:18:00+00:00,2021-01-03 13:35:00+00:00,835.13,835.13,18.634896041641923,0.022951024999999993,78,take_profit,1
2021-01-03 13:36:00+00:00,2021-01-03 13:43:00+00:00,860.49,860.49,18.669111238835853,0.02295102499999999,8,take_profit,1
2021-01-03 13:44:00+00:00,2021-01-03 14:28:00+00:00,879.09,878.2143365093115,20.75185570047347,0.02295102499999997,45,take_profit,2
2021-01-03 14:29:00+00:00,2021-01-03 16:00:00+00:00,902.88,899.1060146125038,24.899409958556816,0.02295102499999993,92,take_profit,3
2021-01-03 16:01:00+00:00,2021-01-03 16:06:00+00:00,929.98,929.98,18.78720872509109,0.022951024999999802,6,take_profit,1
2021-01-03 16:07:00+00:00,2021-01-03 16:25:00+00:00,951.59,950.6421190991772,20.88312825876551,0.022951024999999983,19,take_profit,2
2021-01-03 16:26:00+00:00,2021-01-03 20:24:00+00:00,974.01,935.4799378666586,70.50065082217816,0.022951024999999747,239,take_profit,8
2021-01-03 20:25:00+00:00,2021-01-03 22:27:00+00:00,958.42,954.413860673529,25.22889610604784,0.02295102500000007,123,take_profit,3
2021-01-03 22:28:00+00:00,2021-01-03 23:41:00+00:00,978.54,978.54,19.035814014744233,0.022951024999999903,74,take_profit,1
2021-01-03 23:42:00+00:00,2021-01-04 03:56:00+00:00,1007.29,994.7029912798613,37.86909115570711,0.0229510250000001,255,take_profit,5
2021-01-04 03:57:00+00:00,2021-01-04 05:18:00+00:00,1018.25,1018.25,19.140296086839385,0.02295102499999988,82,take_profit,1
2021-01-04 05:19:00+00:00,2021-01-04 05:46:00+00:00,1043.92,1043.92,19.175439239959132,0.022951024999999917,28,take_profit,1
2021-01-04 05:47:00+00:00,2021-01-04 06:21:00+00:00,1073.69,1073.69,19.21064691878962,0.02295102499999981,35,take_profit,1
2021-01-04 06:22:00+00:00,2021-01-04 06:27:00+00:00,1105.85,1105.85,19.245919241805723,0.022951024999999996,6,take_profit,1
2021-01-04 06:28:00+00:00,2021-01-04 06:38:00+00:00,1134.18,1129.439194193259,25.616526263943115,0.02295102500000007,11,take_profit,3
2021-01-04 06:39:00+00:00,2021-01-05 00:06:00+00:00,1159.27,1047.3679568183068,139.99204596900836,0.022951024999999656,1048,take_profit,11
2021-01-05 00:07:00+00:00,2021-01-05 00:33:00+00:00,1078.27,1078.27,19.585327246221482,0.02295102499999976,27,take_profit,1
2021-01-05 00:34:00+00:00,2021-01-05 15:24:00+00:00,1110.98,1037.4455629726901,107.73021191684893,0.022951025000000184,891,take_profit,10
2021-01-05 15:25:00+00:00,2021-01-05 16:25:00+00:00,1060.19,1055.7584680489438,26.331075406970285,0.02295102499999982,61,take_profit,3
2021-01-05 16:26:00+00:00,2021-01-05 19:39:00+00:00,1082.99,1069.4570506271054,39.451049558766044,0.022951024999999688,194,take_profit,5
2021-01-05 19:40:00+00:00,2021-01-06 04:23:00+00:00,1097.58,1083.864735248985,39.594885491832656,0.022951024999999726,524,take_profit,5
2021-01-06 04:24:00+00:00,2021-01-06 11:08:00+00:00,1111.5,1106.853995261605,26.58812851249445,0.022951024999999826,405,take_profit,3
2021-01-06 11:09:00+00:00,2021-01-06 16:04:00+00:00,1145.53,1140.7417518596726,26.652986691470232,0.022951024999999646,296,take_profit,3
2021-01-06 16:05:00+00:00,2021-01-06 17:48:00+00:00,1177.04,1175.8675478562147,22.312884295363006,0.022951024999999948,104,take_profit,2
2021-01-06 17:49:00+00:00,2021-01-06 20:57:00+00:00,1206.71,1174.7852165166262,57.67108192933438,0.022951024999999636,189,take_profit,7
2021-01-06 20:58:00+00:00,2021-01-07 12:54:00+00:00,1204.45,1189.3992969721025,40.22497572954671,0.022951024999999917,957,take_profit,5
2021-01-07 12:55:00+00:00,2021-01-07 15:47:00+00:00,1218.76,1218.76,20.331038375961384,0.022951024999999965,173,take_profit,1
2021-01-07 15:48:00+00:00,2021-01-07 16:35:00+00:00,1245.3,1245.3,20.368367829564818,0.022951024999999986,48,take_profit,1
2021-01-07 16:36:00+00:00,2021-01-07 21:08:00+00:00,1275.37,1224.9186849796206,76.27869605303977,0.02295102500000012,273,take_profit,8
2021-01-07 21:09:00+00:00,2021-01-08 07:35:00+00:00,1253.04,1170.1027815327905,112.80633422757728,0.022951025000000087,627,take_profit,10
2021-01-08 07:36:00+00:00,2021-01-08 10:03:00+00:00,1197.67,1196.4769982676485,23.025882649409596,0.022951025000000132,148,take_profit,2
2021-01-08 10:04:00+00:00,2021-01-08 10:40:00+00:00,1225.91,1225.91,20.795218852340327,0.02295102499999985,37,take_profit,1
2021-01-08 10:41:00+00:00,2021-01-09 20:23:00+00:00,1260.0,1210.1566941940941,77.87723549904058,0.02295102499999986,2023,take_profit,8
2021-01-09 20:24:00+00:00,2021-01-09 21:00:00+00:00,1241.08,1241.08,20.976389569670687,0.022951024999999823,37,take_profit,1
2021-01-09 21:01:00+00:00,2021-01-09 22:14:00+00:00,1269.4,1269.4,21.014903940984595,0.022951024999999875,74,take_profit,1
2021-01-09 22:15:00+00:00,2021-01-10 01:17:00+00:00,1301.66,1291.9944002068805,32.58278063832745,0.022951024999999858,183,take_profit,4
2021-01-10 01:18:00+00:00,2021-01-10 13:12:00+00:00,1316.06,1281.242247142123,60.4242929743541,0.022951025000000003,715,take_profit,7
2021-01-10 13:13:00+00:00,2021-01-14 11:02:00+00:00,1311.35,1144.965982336428,190.91725088064595,0.022951024999999844,5630,take_profit,12
2021-01-14 11:03:00+00:00,2021-01-14 14:09:00+00:00,1173.14,1168.2363436807912,28.663659362211547,0.022951024999999688,187,take_profit,3
2021-01-14 14:10:00+00:00,2021-01-14 16:08:00+00:00,1197.0,1197.0,21.627426198415833,0.022951024999999903,119,take_profit,1
2021-01-14 16:09:00+00:00,2021-01-15 00:05:00+00:00,1228.39,1213.0401448026578,43.02474133949636,0.022951024999999903,477,take_profit,5
2021-01-15 00:06:00+00:00,2021-01-16 00:06:00+00:00,1243.62,1161.3062800627347,119.3966248097895,0.022951025000000055,1441,take_profit,10
2021-01-16 00:07:00+00:00,2021-01-16 08:35:00+00:00,1190.87,1175.988991477577,43.61691896243178,0.0229510249999998,509,take_profit,5
2021-01-16 08:36:00+00:00,2021-01-16 13:16:00+00:00,1209.65,1208.4450649631876,24.459939587247163,0.022951024999999885,281,take_profit,2
2021-01-16 13:17:00+00:00,2021-01-16 15:45:00+00:00,1239.98,1238.744853183196,24.509768806140983,0.02295102499999965,149,take_profit,2
2021-01-16 15:46:00+00:00,2021-01-17 21:13:00+00:00,1272.62,1222.2774699724512,82.74405208466897,0.02295102500000016,1768,take_profit,8
2021-01-17 21:14:00+00:00,2021-01-18 23:52:00+00:00,1254.93,1229.6607562110712,54.020112744130984,0.022951025000000052,1599,take_profit,6
2021-01-18 23:53:00+00:00,2021-01-19 01:22:00+00:00,1259.14,1259.14,22.386461734383147,0.022951024999999955,90,take_profit,1
2021-01-19 01:23:00+00:00,2021-01-19 01:35:00+00:00,1291.97,1291.97,22.427565113817195,0.022951024999999813,13,take_profit,1
2021-01-19 01:36:00+00:00,2021-01-19 07:48:00+00:00,1321.0,1319.6841489822436,24.929606396406825,0.02295102500000007,373,take_profit,2
2021-01-19 07:49:00+00:00,2021-01-19 09:46:00+00:00,1359.9,1359.9,22.51451676399813,0.022951024999999917,118,take_profit,1
2021-01-19 09:47:00+00:00,2021-01-19 11:53:00+00:00,1394.65,1388.8204448867275,29.9670648493709,0.02295102500000006,127,take_profit,3
