tag,score,dual_ok,param_initial_pct,param_dca_level_weights,param_sub_order_weights,param_dca_depths,param_take_profit_pct,param_fee_rate,param_capital,param_reentry_delay_bars,param_stop_loss_pct,param_stop_loss_ref,param_max_hold_bars,param_breakeven_after_bars,param_breakeven_buffer_pct,equity_final,total_return_pct,buy_hold_return_pct,num_cycles,win_rate,avg_pnl_pct,max_drawdown_pct,profit_factor,total_fees,avg_hold_bars,median_hold_bars,max_hold_bars_seen,tp_exits,sl_exits,time_exits,breakeven_exits
max_hold=30d,24.64707570714006,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.28,wap,43200,0,0.001,32217.40671387552,222.1740671387552,152.72041464275054,875,98.05714285714285,1.9827984353328234,54.31510280243008,1.397980580409871,7514.625861194076,3352.7394285714286,741.0,43200.0,858,3,13,0
refine_tp0.02_sl0.32_mh0d,11.354080081146819,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.32,wap,0,0,0.001,32129.72274077192,221.29722740771916,152.72041464275054,1075,99.44186046511628,1.6336742330430662,63.78974918844689,1.560299495108289,7145.01855379478,2728.973953488372,425.0,147183.0,1069,5,0,0
refine_tp0.02_sl0.32_mh30d,-119.97654190259092,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.32,wap,43200,0,0.001,17619.791635833346,76.19791635833346,152.72041464275054,1164,98.53951890034365,1.5433987615986566,64.04413792302482,1.1641704164797848,6510.215097629505,2520.3152920962198,478.0,43200.0,1147,3,13,0
refine_tp0.02_sl0.35_mh0d,42.27427682349854,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.35,wap,0,0,0.001,34432.37862362046,244.3237862362046,152.72041464275054,1020,99.50980392156863,1.6464413848248007,58.00354827756937,1.6342686104408575,7269.564584117301,2876.1245098039217,422.5,147183.0,1015,4,0,0
refine_tp0.02_sl0.35_mh30d,-148.3961407252393,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.35,wap,43200,0,0.001,15133.989006791728,51.33989006791728,152.72041464275054,1160,98.53448275862068,1.5347842599145136,65.71628990930918,1.1140749953314062,6036.885269793335,2529.0060344827584,479.0,43200.0,1143,3,13,0
refine_tp0.02_sl0.38_mh0d,-87.54693039327915,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.38,wap,0,0,0.001,24758.287500006296,147.58287500006296,152.72041464275054,980,99.48979591836735,1.6277615254871782,63.63178580370173,1.3954896263873025,6019.369815462725,2993.5173469387755,447.0,203850.0,975,4,0,0
refine_tp0.02_sl0.38_mh30d,-147.22528209944286,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.02,0.001,10000.0,0,0.38,wap,43200,0,0.001,15646.651005075511,56.46651005075511,152.72041464275054,1146,98.51657940663176,1.536376590628771,67.30797856685739,1.1365865080750075,5659.718549524425,2559.9013961605583,481.0,43200.0,1129,2,14,0
refine_tp0.025_sl0.32_mh0d,19.890935500426792,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.32,wap,0,0,0.001,35801.35448664673,258.01354486646727,152.72041464275054,791,99.24146649810368,2.0703966231545308,64.0403727051674,1.6195255534421948,6180.51053804935,3708.7825537294566,674.0,156732.0,785,5,0,0
refine_tp0.025_sl0.32_mh30d,-41.57417440422418,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.32,wap,43200,0,0.001,26340.3225258628,163.40322525862803,152.72041464275054,871,98.04822043628015,1.9676144763676473,57.84784196807322,1.3068591928708606,6695.276383772572,3368.1366245694603,744.0,43200.0,854,3,13,0
refine_tp0.025_sl0.35_mh0d,-71.08735121432711,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.35,wap,0,0,0.001,27243.52017288829,172.4352017288829,152.72041464275054,785,99.23566878980891,2.0496090432041205,66.38600221154873,1.429714680980014,5259.1877665766115,3737.1299363057324,668.0,156732.0,779,5,0,0
refine_tp0.025_sl0.35_mh30d,-60.00051398858882,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.35,wap,43200,0,0.001,24363.0663345253,143.630663345253,152.72041464275054,860,98.0232558139535,1.9612904445224573,56.63622058743047,1.2923371242616444,6112.332147888441,3411.217441860465,755.0,43200.0,843,2,14,0
refine_tp0.025_sl0.38_mh0d,-149.5184120432054,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.38,wap,0,0,0.001,20424.409771355487,104.2440977135549,152.72041464275054,778,99.22879177377892,2.0281585686571133,71.08567358821234,1.2688100344480848,4512.498050202196,3770.754498714653,682.0,156732.0,772,5,0,0
refine_tp0.025_sl0.38_mh30d,-87.48851147073216,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.025,0.001,10000.0,0,0.38,wap,43200,0,0.001,22055.726614924577,120.55726614924578,152.72041464275054,860,98.0232558139535,1.9543276468480395,58.84352073049853,1.2560010710166911,5689.270835395607,3411.217441860465,755.0,43200.0,843,2,14,0
refine_tp0.03_sl0.32_mh0d,33.276386044955444,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.32,wap,0,0,0.001,39752.79501539287,297.5279501539287,152.72041464275054,617,99.02755267423015,2.5011753637200034,63.999440750277934,1.6809146971274023,5578.328536801541,4754.695299837926,912.0,156921.0,611,5,0,0
refine_tp0.03_sl0.32_mh30d,-63.19764830796416,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.32,wap,43200,0,0.001,26396.443418087998,163.96443418087995,152.72041464275054,686,97.52186588921283,2.344919236576559,57.586224278566434,1.2966945385247646,5766.625337824875,4276.453352769679,945.5,43200.0,668,3,14,0
refine_tp0.03_sl0.35_mh0d,-60.41510297563492,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.35,wap,0,0,0.001,30918.607345439697,209.18607345439696,152.72041464275054,617,99.02755267423015,2.4769127786308633,66.67424691080724,1.492659573040066,4814.639228270606,4754.695299837926,904.0,156921.0,611,5,0,0
refine_tp0.03_sl0.35_mh30d,-101.09908443464494,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.35,wap,43200,0,0.001,22390.247560991964,123.90247560991963,152.72041464275054,683,97.51098096632504,2.329795429416574,56.271165105139886,1.2342227649502004,5249.729790553209,4295.237188872621,947.0,43200.0,665,3,14,0
refine_tp0.03_sl0.38_mh0d,-196.72957726836344,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.38,wap,0,0,0.001,20600.340668194152,106.00340668194153,152.72041464275054,594,98.98989898989899,2.4393058257457674,73.11717946100539,1.2645439791754445,3857.0430000338533,4938.799663299664,917.5,203851.0,588,5,0,0
refine_tp0.03_sl0.38_mh30d,-94.63418669574759,False,0.08,"[1, 2, 4, 8]","[1, 2, 4]","[0.03, 0.08, 0.18, 0.35]",0.03,0.001,10000.0,0,0.38,wap,43200,0,0.001,23492.38874885992,134.92388748859923,152.72041464275054,678,97.49262536873157,2.3344211711680503,58.15347479405087,1.2826033543374749,4927.6541934892375,4326.912979351033,955.5,43200.0,660,2,15,0
